date,state,dose,daily_vac
2021-03-24,Negeri Sembilan,1st Dose,1378
2021-03-24,Pahang,1st Dose,6
2021-03-24,Perak,1st Dose,75
2021-03-24,Perlis,1st Dose,4
2021-03-24,Penang,1st Dose,784
2021-03-24,Sabah,1st Dose,291
2021-03-24,Sarawak,1st Dose,141
2021-03-24,Selangor,1st Dose,1818
2021-03-24,Terengganu,1st Dose,353
2021-03-24,Kuala Lumpur,1st Dose,513
2021-03-24,Labuan,1st Dose,0
2021-03-24,Putrajaya,1st Dose,8
2021-03-25,Johor,1st Dose,938
2021-03-25,Kedah,1st Dose,6
2021-03-25,Kelantan,1st Dose,46
2021-03-25,Melaka,1st Dose,153
2021-03-25,Negeri Sembilan,1st Dose,818
2021-03-25,Pahang,1st Dose,77
2021-03-25,Perak,1st Dose,7
2021-03-25,Perlis,1st Dose,3
2021-03-25,Penang,1st Dose,550
2021-03-25,Sabah,1st Dose,319
2021-03-25,Sarawak,1st Dose,140
2021-03-25,Selangor,1st Dose,1749
2021-03-25,Terengganu,1st Dose,450
2021-03-25,Kuala Lumpur,1st Dose,1179
2021-03-25,Labuan,1st Dose,0
2021-03-25,Putrajaya,1st Dose,1
2021-03-26,Johor,1st Dose,530
2021-03-26,Kedah,1st Dose,1
2021-03-26,Kelantan,1st Dose,11
2021-03-26,Melaka,1st Dose,143
2021-03-26,Negeri Sembilan,1st Dose,400
2021-03-26,Pahang,1st Dose,64
2021-03-26,Perak,1st Dose,10
2021-03-26,Perlis,1st Dose,0
2021-03-26,Penang,1st Dose,69
2021-03-26,Sabah,1st Dose,24
2021-03-26,Sarawak,1st Dose,71
2021-03-26,Selangor,1st Dose,1068
2021-03-26,Terengganu,1st Dose,0
2021-03-26,Kuala Lumpur,1st Dose,1426
2021-03-26,Labuan,1st Dose,1
2021-03-26,Putrajaya,1st Dose,121
2021-03-27,Johor,1st Dose,489
2021-03-27,Kedah,1st Dose,0
2021-03-27,Kelantan,1st Dose,0
2021-03-27,Melaka,1st Dose,306
2021-03-27,Negeri Sembilan,1st Dose,0
2021-03-27,Pahang,1st Dose,14
2021-03-27,Perak,1st Dose,10
2021-03-27,Perlis,1st Dose,0
2021-03-27,Penang,1st Dose,0
2021-03-27,Sabah,1st Dose,268
2021-03-27,Sarawak,1st Dose,583
2021-03-27,Selangor,1st Dose,36
2021-03-27,Terengganu,1st Dose,0
2021-03-27,Kuala Lumpur,1st Dose,0
2021-03-27,Labuan,1st Dose,0
2021-03-27,Putrajaya,1st Dose,0
2021-03-28,Johor,1st Dose,1364
2021-03-28,Kedah,1st Dose,45
2021-03-28,Kelantan,1st Dose,3
2021-03-28,Melaka,1st Dose,306
2021-03-28,Negeri Sembilan,1st Dose,0
2021-03-28,Pahang,1st Dose,7
2021-03-28,Perak,1st Dose,14
2021-03-28,Perlis,1st Dose,0
2021-03-28,Penang,1st Dose,0
2021-03-28,Sabah,1st Dose,18
2021-03-28,Sarawak,1st Dose,980
2021-03-28,Selangor,1st Dose,0
2021-03-28,Terengganu,1st Dose,947
2021-03-28,Kuala Lumpur,1st Dose,0
2021-03-28,Labuan,1st Dose,0
2021-03-28,Putrajaya,1st Dose,0
2021-03-29,Johor,1st Dose,892
2021-03-29,Kedah,1st Dose,830
2021-03-29,Kelantan,1st Dose,419
2021-03-29,Melaka,1st Dose,26
2021-03-29,Negeri Sembilan,1st Dose,155
2021-03-29,Pahang,1st Dose,2
2021-03-29,Perak,1st Dose,3
2021-03-29,Perlis,1st Dose,2
2021-03-29,Penang,1st Dose,43
2021-03-29,Sabah,1st Dose,182
2021-03-29,Sarawak,1st Dose,1239
2021-03-29,Selangor,1st Dose,1104
2021-03-29,Terengganu,1st Dose,876
2021-03-29,Kuala Lumpur,1st Dose,1976
2021-03-29,Labuan,1st Dose,0
2021-03-29,Putrajaya,1st Dose,117
2021-03-30,Johor,1st Dose,597
2021-03-30,Kedah,1st Dose,960
2021-03-30,Kelantan,1st Dose,715
2021-03-30,Melaka,1st Dose,325
2021-03-30,Negeri Sembilan,1st Dose,489
2021-03-30,Pahang,1st Dose,2
2021-03-30,Perak,1st Dose,9
2021-03-30,Perlis,1st Dose,7
2021-03-30,Penang,1st Dose,96
2021-03-30,Sabah,1st Dose,374
2021-03-30,Sarawak,1st Dose,3087
2021-03-30,Selangor,1st Dose,1606
2021-03-30,Terengganu,1st Dose,682
2021-03-30,Kuala Lumpur,1st Dose,2576
2021-03-30,Labuan,1st Dose,0
2021-03-30,Putrajaya,1st Dose,4
2021-03-31,Johor,1st Dose,505
2021-03-31,Kedah,1st Dose,887
2021-03-31,Kelantan,1st Dose,561
2021-03-31,Melaka,1st Dose,723
2021-03-31,Negeri Sembilan,1st Dose,387
2021-03-31,Pahang,1st Dose,16
2021-03-31,Perak,1st Dose,5
2021-03-31,Perlis,1st Dose,248
2021-03-31,Penang,1st Dose,211
2021-03-31,Sabah,1st Dose,332
2021-03-31,Sarawak,1st Dose,4293
2021-03-31,Selangor,1st Dose,596
2021-03-31,Terengganu,1st Dose,586
2021-03-31,Kuala Lumpur,1st Dose,595
2021-03-31,Labuan,1st Dose,0
2021-03-31,Putrajaya,1st Dose,6
2021-04-01,Johor,1st Dose,2125
2021-04-01,Kedah,1st Dose,1226
2021-04-01,Kelantan,1st Dose,447
2021-04-01,Melaka,1st Dose,853
2021-04-01,Negeri Sembilan,1st Dose,1364
2021-04-01,Pahang,1st Dose,106
2021-04-01,Perak,1st Dose,628
2021-04-01,Perlis,1st Dose,6
2021-04-01,Penang,1st Dose,621
2021-04-01,Sabah,1st Dose,846
2021-04-01,Sarawak,1st Dose,4466
2021-04-01,Selangor,1st Dose,1714
2021-04-01,Terengganu,1st Dose,633
2021-04-01,Kuala Lumpur,1st Dose,406
2021-04-01,Labuan,1st Dose,109
2021-04-01,Putrajaya,1st Dose,361
2021-04-02,Johor,1st Dose,467
2021-04-02,Kedah,1st Dose,221
2021-04-02,Kelantan,1st Dose,84
2021-04-02,Melaka,1st Dose,769
2021-04-02,Negeri Sembilan,1st Dose,176
2021-04-02,Pahang,1st Dose,412
2021-04-02,Perak,1st Dose,309
2021-04-02,Perlis,1st Dose,9
2021-04-02,Penang,1st Dose,522
2021-04-02,Sabah,1st Dose,173
2021-04-02,Sarawak,1st Dose,2374
2021-04-02,Selangor,1st Dose,1343
2021-04-02,Terengganu,1st Dose,0
2021-04-02,Kuala Lumpur,1st Dose,426
2021-04-02,Labuan,1st Dose,108
2021-04-02,Putrajaya,1st Dose,187
2021-04-03,Johor,1st Dose,139
2021-04-03,Kedah,1st Dose,14
2021-04-03,Kelantan,1st Dose,0
2021-04-03,Melaka,1st Dose,107
2021-04-03,Negeri Sembilan,1st Dose,7
2021-04-03,Pahang,1st Dose,0
2021-04-03,Perak,1st Dose,28
2021-04-03,Perlis,1st Dose,3
2021-04-03,Penang,1st Dose,54
2021-04-03,Sabah,1st Dose,250
2021-04-03,Sarawak,1st Dose,1947
2021-04-03,Selangor,1st Dose,15
2021-04-03,Terengganu,1st Dose,0
2021-04-03,Kuala Lumpur,1st Dose,1
2021-04-03,Labuan,1st Dose,117
2021-04-03,Putrajaya,1st Dose,0
2021-04-04,Johor,1st Dose,1993
2021-04-04,Kedah,1st Dose,565
2021-04-04,Kelantan,1st Dose,37
2021-04-04,Melaka,1st Dose,0
2021-04-04,Negeri Sembilan,1st Dose,0
2021-04-04,Pahang,1st Dose,649
2021-04-04,Perak,1st Dose,44
2021-04-04,Perlis,1st Dose,0
2021-04-04,Penang,1st Dose,76
